,Unnamed: 0,filepath,size(byte),traditional(us),dadi-5M(us),dadi-10M(us),dadi-100M(us)
710,710,/usr/libexec/coreutils/libstdbuf.so,14504,43.620000000000005,1476.1666666666667,738.1666666666666,127.07142857142857
711,711,/usr/lib/x86_64-linux-gnu/libseccomp.so.2,137536,412.1,13853.833333333334,6882.0,1186.7857142857142
712,712,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/InSC/Consona4.pl,647,2.2,84.83333333333333,40.5,6.957142857142857
713,713,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Sc/Latn.pl,814,2.5700000000000003,94.5,45.5,8.3
714,714,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Gc/Ps.pl,1354,4.13,148.16666666666666,72.66666666666667,12.871428571428572
715,715,/etc/ssl/certs/fe8a2cd8.0,0,4.109999999999999,145.16666666666666,72.0,12.814285714285715
716,716,/usr/share/perl5/Debconf/Element/Dialog/Text.pm,330,1.1400000000000001,45.833333333333336,21.833333333333332,4.185714285714285
717,717,/usr/lib/x86_64-linux-gnu/gconv/ISO8859-2.so,14448,43.26,1458.5,727.8333333333334,125.15714285714286
718,718,/etc/ssl/certs/749e9e03.0,0,6.01,216.83333333333334,108.16666666666667,18.642857142857142
719,719,/var/lib/dpkg/info/ca-certificates.config,9412,28.26,950.5,479.1666666666667,82.12857142857143
720,720,/var/lib/systemd/deb-systemd-helper-enabled/apt-daily-upgrade.timer.dsh-also,64,0.41000000000000003,18.166666666666668,8.833333333333334,2.2142857142857144
721,721,/var/lib/dpkg/info/libnsl2:amd64.md5sums,286,1.0,39.833333333333336,19.333333333333332,3.757142857142857
722,722,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Sc/Cprt.pl,563,1.81,65.5,34.166666666666664,6.128571428571429
723,723,/etc/cron.daily,4096,0.17,4.833333333333333,2.166666666666667,1.0714285714285714
724,724,/usr/lib/x86_64-linux-gnu/libtic.so.6.2,67744,201.88,6781.166666666667,3404.3333333333335,581.3
725,725,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Nv/4.pl,1964,6.06,210.83333333333334,103.66666666666667,18.357142857142858
726,726,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/IDS/Y.pl,7556,22.67,770.8333333333334,388.8333333333333,66.98571428571428
727,727,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Age/V61.pl,1626,5.0,176.16666666666666,87.83333333333333,15.357142857142858
728,728,/var/lib/dpkg/info/libsystemd0:amd64.symbols,26531,79.63,2669.8333333333335,1336.6666666666667,228.7
729,729,/var/lib/dpkg/info/libidn2-0:amd64.shlibs,31,0.26,14.166666666666666,7.166666666666667,1.5857142857142856
730,730,/var/lib/dpkg/info/libkrb5-3:amd64.md5sums,521,1.6900000000000002,61.5,30.333333333333332,5.814285714285714
731,731,/var/lib/dpkg/info/libldap-2.4-2:amd64.shlibs,506,1.73,59.166666666666664,30.0,5.557142857142857
732,732,/var/lib/dpkg/info/libicu67:amd64.triggers,67,0.35,16.5,8.166666666666668,1.7857142857142858
733,733,/etc/ssl/certs/CA_Disig_Root_R2.pem,0,5.88,210.16666666666666,103.33333333333333,17.985714285714284
734,734,/usr/lib/x86_64-linux-gnu/gconv/RK1048.so,18544,55.45,1868.8333333333333,936.1666666666666,160.55714285714285
735,735,/usr/lib/x86_64-linux-gnu/gconv/SHIFT_JISX0213.so,22640,67.39999999999999,2273.5,1141.1666666666667,195.52857142857144
736,736,/etc/ssl/certs/QuoVadis_Root_CA.pem,0,6.39,224.83333333333334,109.66666666666667,19.12857142857143
737,737,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Lb/EX.pl,747,2.39,84.5,41.666666666666664,7.728571428571429
738,738,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Gc/P.pl,2512,7.63,261.8333333333333,132.0,22.728571428571428
739,739,/var/lib/dpkg/info/ucf.md5sums,3393,10.25,348.1666666666667,176.33333333333334,30.47142857142857
740,740,/var/lib/dpkg/info/libreadline8:amd64.md5sums,669,2.13,77.16666666666667,39.666666666666664,6.957142857142857
741,741,/var/lib/dpkg/info/libaudit-common.md5sums,307,1.06,40.5,20.333333333333332,3.8142857142857145
742,742,/lib/udev/rules.d,4096,0.17,13.166666666666666,6.166666666666667,1.3571428571428572
743,743,/usr/lib/x86_64-linux-gnu/libkrb5support.so.0.1,56352,167.84,5616.833333333333,2826.3333333333335,482.4428571428571
744,744,/var/lib/dpkg/info/libcom-err2:amd64.md5sums,223,0.83,34.5,16.5,3.3857142857142857
745,745,/var/lib/dpkg/info/libnettle8:amd64.list,367,1.23,49.166666666666664,22.833333333333332,4.3
746,746,/usr/lib/x86_64-linux-gnu/gconv/IBM1390.so,235624,706.35,60601.5,26301.5,2113.3
747,747,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Scx/Lao.pl,601,1.9500000000000002,82.83333333333333,38.333333333333336,7.328571428571428
748,748,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Scx/Latn.pl,896,2.83,101.5,51.666666666666664,9.1
749,749,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Perl/_PerlCh2.pl,8880,26.770000000000003,898.5,454.5,78.24285714285715
750,750,/etc/ssl/certs/UCA_Global_G2_Root.pem,0,5.8,191.16666666666666,96.66666666666667,16.785714285714285
751,751,/var/lib/dpkg/info/libattr1:amd64.conffiles,16,0.22,13.5,7.5,1.4428571428571428
752,752,/var/lib/dpkg/info/libapt-pkg6.0:amd64.shlibs,40,0.28,14.166666666666666,7.166666666666667,1.5285714285714285
753,753,/lib/x86_64-linux-gnu/libtirpc.so.3,186832,569.11,18674.833333333332,9358.833333333334,1600.1857142857143
754,754,/usr/share/ca-certificates/mozilla/GlobalSign_Root_CA_-_R2.crt,1354,4.25,137.83333333333334,68.0,12.414285714285715
755,755,/usr/lib/x86_64-linux-gnu/libwebp.so.6,416344,1237.8899999999999,114622.83333333333,49529.5,3679.3285714285716
756,756,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/In/3_0.pl,4351,13.209999999999999,461.5,230.16666666666666,39.614285714285714
757,757,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/In/4_1.pl,5171,15.54,528.8333333333334,264.1666666666667,45.92857142857143
758,758,/var/lib/dpkg/info/libxpm4:amd64.shlibs,17,0.23,16.166666666666664,7.666666666666667,1.6142857142857143
759,759,/usr/lib/x86_64-linux-gnu/gconv/IBM922.so,18544,55.57,1868.1666666666667,939.8333333333334,161.3
760,760,/usr/lib/x86_64-linux-gnu/gconv/BRF.so,18544,55.410000000000004,1873.8333333333333,935.6666666666666,160.7
761,761,/usr/lib/x86_64-linux-gnu/perl-base/unicore/To/SB.pl,34015,101.22999999999999,3426.5,1705.3333333333333,295.5571428571429
762,762,/usr/share/fonts/truetype/dejavu/DejaVuSerif.ttf,380132,1129.82,38029.5,19152.166666666668,3261.9
763,763,/usr/lib/x86_64-linux-gnu/gconv/HP-THAI8.so,18544,55.38,1870.8333333333333,942.1666666666666,161.5
764,764,/usr/lib/x86_64-linux-gnu/gconv/ISO8859-1.so,14448,43.18,1453.1666666666667,731.8333333333334,125.12857142857143
765,765,/usr/lib/x86_64-linux-gnu/perl-base/AutoLoader.pm,5487,16.39,563.1666666666666,279.1666666666667,48.72857142857143
766,766,/usr/lib/x86_64-linux-gnu/gconv/EUC-JISX0213.so,22640,68.22999999999999,2269.5,1140.6666666666667,196.52857142857144
767,767,/usr/lib/x86_64-linux-gnu/perl-base/unicore/To/Identif2.pl,33138,98.8,3319.8333333333335,1663.8333333333333,285.3857142857143
768,768,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Perl/SpacePer.pl,580,1.87,70.16666666666667,35.0,6.442857142857143
769,769,/var/lib/dpkg/info/ucf.postrm,6320,18.91,643.5,325.0,55.44285714285714
770,770,/var/lib/dpkg/info/gettext-base.list,5955,17.92,603.5,303.6666666666667,53.01428571428571
771,771,/var/lib/dpkg/info/libaudit1:amd64.symbols,3033,9.24,312.8333333333333,160.0,27.3
772,772,/usr/lib/x86_64-linux-gnu/gconv/IBM1008_420.so,14440,43.300000000000004,1451.8333333333333,731.6666666666666,125.55714285714286
773,773,/usr/lib/x86_64-linux-gnu/gconv/IBM930.so,100464,298.89000000000004,10033.5,5033.5,865.0142857142857
774,774,/usr/share/ca-certificates/mozilla/Staat_der_Nederlanden_EV_Root_CA.crt,1948,6.029999999999999,208.83333333333334,104.5,18.442857142857143
775,775,/usr/lib/x86_64-linux-gnu/gconv/IBM424.so,18544,55.25,1868.5,940.6666666666666,160.44285714285715
776,776,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Nv/200.pl,567,1.85,68.16666666666667,34.166666666666664,6.3
777,777,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Jt/U.pl,4530,13.68,467.1666666666667,235.33333333333334,40.15714285714286
778,778,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Dt/Enc.pl,587,1.8900000000000001,68.83333333333333,34.5,6.5
779,779,/var/lib/dpkg/info/sensible-utils.md5sums,1121,3.5300000000000002,122.16666666666667,60.5,11.157142857142857
780,780,/var/lib/dpkg/info/libblkid1:amd64.list,296,1.02,39.5,19.5,3.7857142857142856
781,781,/lib/x86_64-linux-gnu/libBrokenLocale.so.1,14432,43.42,1455.8333333333333,728.1666666666666,125.52857142857142
782,782,/usr/lib/x86_64-linux-gnu/gconv/libKSC.so,51128,152.13,5126.833333333333,2565.1666666666665,439.98571428571427
783,783,/usr/share/fontconfig/conf.avail/10-sub-pixel-vbgr.conf,758,2.4,89.5,43.666666666666664,8.32857142857143
784,784,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Scx/Tang.pl,543,1.75,65.16666666666667,32.833333333333336,6.128571428571429
785,785,/usr/lib/x86_64-linux-gnu/libcurl.so.4.7.0,628232,1869.4099999999999,62790.166666666664,31403.666666666668,5391.757142857143
786,786,/etc/skel/.profile,807,2.62,108.5,56.0,10.157142857142857
787,787,/usr/lib/x86_64-linux-gnu/gconv/IBM037.so,18544,55.5,1873.1666666666667,940.1666666666666,160.9857142857143
788,788,/usr/lib/x86_64-linux-gnu/gconv/ISO-2022-KR.so,18544,55.58,1865.5,936.0,161.07142857142858
789,789,/etc/ssl/certs/7719f463.0,0,3.3400000000000003,132.16666666666666,65.66666666666667,11.728571428571428
790,790,/etc/ssl/certs/d7e8dc79.0,0,6.2299999999999995,212.16666666666666,105.5,18.185714285714287
791,791,/var/lib/systemd/deb-systemd-helper-enabled/multi-user.target.wants,4096,0.2,3.8333333333333335,2.166666666666667,0.8428571428571429
792,792,/var/lib/dpkg/info/libbz2-1.0:amd64.triggers,65,0.36,18.833333333333332,8.666666666666666,1.8714285714285714
793,793,/usr/lib/x86_64-linux-gnu/gconv/IBM9066.so,18544,55.34,1860.8333333333333,930.1666666666666,160.52857142857144
794,794,/usr/lib/x86_64-linux-gnu/gconv/IBM1155.so,18544,55.730000000000004,1873.8333333333333,935.3333333333334,161.07142857142858
795,795,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Gc/No.pl,1316,4.14,143.16666666666666,70.5,12.871428571428572
796,796,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/GrExt/Y.pl,4320,13.02,451.5,226.16666666666666,39.01428571428571
797,797,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/InSC/Vowel.pl,549,1.79,66.83333333333333,32.5,6.014285714285714
798,798,/usr/lib/x86_64-linux-gnu/gconv/IBM937.so,116848,347.87,11690.5,5850.5,1004.1857142857143
799,799,/usr/lib/x86_64-linux-gnu/libtiff.so.5,544800,1620.3999999999999,91724.16666666667,41897.333333333336,4788.957142857143
800,800,/usr/lib/x86_64-linux-gnu/libxslt.so.1.1.34,264480,786.4300000000001,60297.833333333336,26165.666666666668,2268.9285714285716
801,801,/usr/share/perl5/Debconf/Element/Teletype/Password.pm,629,2.06,96.83333333333333,49.833333333333336,8.3
